"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string",other (Apache-2.0),other (Apache-2.0),other (zlib License),other (mixed licensing: GPL + commercial/educational licenses),other (Apache-2.0),other (dual license: BSD-style / LGPL-2.1-or-later),other (Apache-2.0),other (LGPL-3.0-or-later + Apache-2.0),bsd,mit,bsd,bsd,mit,bsd,other (Apache-2.0),bsd,bsd,other (GPL-2.0-with-runtime-exception + LGPL-2.1-or-later),other (LGPL-2.1-or-later),bsd,GNU GPL (v3 or later),mit,bsd,mit,bsd,other (zlib License),bsd,other (LGPL-2.1)
"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string","Windows, Linux, OS X","Windows, Linux, OS X","Windows, Linux, OS X","Windows, Linux, OS X","Windows, Linux, OS X","Windows, Linux, OS X","Windows, Linux, OS X","Linux, OS X, Windows",Windows,"Windows, Linux","Linux, OS X","Ubuntu, Archlinux, FreeBSD, macOS, and Windows.","Windows, Linux","Windows, Linux, OS X","Windows, Linux, OS X","Windows, Linux, OS X","Windows, Linux, OS X","Windows, Linux, OS X","Windows, Linux, OS X",Linux,"Windows, Linux, OS X","Linux, OS X","Windows, Linux, OS X",Linux,"Windows, Linux, OS X","Windows, Linux, OS X, Android","Windows, Linux, OS X","Windows, Linux, OS X"
"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)",public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public
"Development model? (open source, freeware, commercial, unclear)",open source,open source,open source,commercial,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source
Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"Source code URL? (set of url, n/a, unclear)",https://github.com/gazebosim/gz-sim,https://github.com/cyberbotics/webots,https://github.com/bulletphysics/bullet3,https://github.com/CoppeliaRobotics/coppeliaSimLib,https://github.com/google-deepmind/mujoco,"https://bitbucket.org/odedevs/ode, https://github.com/thomasmarsh/ODE","https://github.com/ros2/ros2, https://github.com/ros2/rclcpp, https://github.com/ros2/rcl",https://github.com/rdiankov/openrave,"https://github.com/NVIDIA-Omniverse/PhysX, https://github.com/NVIDIAGameWorks/PhysX",https://github.com/microsoft/AirSim,https://github.com/RobotLocomotion/drake,https://github.com/dartsim/dart,https://github.com/carla-simulator/carla,https://github.com/morse-simulator/morse,https://github.com/simbody/simbody,https://github.com/ompl/ompl,https://github.com/stack-of-tasks/pinocchio,https://github.com/orocos/orocos_kinematics_dynamics,https://github.com/sofa-framework/sofa,"https://github.com/moveit/moveit2, https://github.com/moveit/moveit",https://github.com/graspit-simulator/graspit,https://github.com/facebookresearch/habitat-sim,https://github.com/projectchrono/chrono,https://github.com/uzh-rpg/flightmare,https://github.com/MRPT/mrpt,https://github.com/JulioJerez/newton-dynamics,https://github.com/robotology/yarp,https://github.com/OpenRTM/OpenRTM-aist
"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other)  given via string","C++, Python, C, Ruby, other (QML, CMake, Starlark, HTML, Shell)","C++, C, Python, Matlab, Java, other (JavaScript, Makefile, GLSL, HTML, CSS, Shell, SWIG, Lua)","C++, C, Python, other (CMake, Lua, Batchfile, Shell, Makefile)","C++, C, Python, other (QMake, CMake)","C++, Python, C, other (Jupyter Notebook, C#, CMake, TypeScript, HTML, Objective-C++, Shell, JavaScript)",unclear,unclear,"C++, Python, Matlab, C, other (CMake, C#, Shell, Makefile, Batchfile)","C++, Python, C, other (Cuda, HLSL, CMake, Lua, PowerShell, Batchfile, Shell, Kit)","C++, Python, C, other (C#, CMake, Shell, Batchfile, ShaderLab, PowerShell, Dockerfile, Makefile)","C++, Python, C, Ruby, other (Starlark, Jupyter Notebook, Shell, CMake, HTML, TeX, Groovy, Dockerfile)","C++, Python, Ruby, C, other (CMake, TeX, Dockerfile, Shell)","C++, Python, C, other (CMake, Shell, Batchfile, C#, Dockerfile)","C, Python, other (CMake, Smarty, Inno Setup, Batchfile, Shell)","C++, C, other (CMake, BitBake)","C++, Python, C, other (CMake, Shell, Dockerfile)","C++, Python, C, other (CMake, Shell, Nix, Batchfile)","C++, Python, C, Matlab, other (CMake, TeX, Makefile, Roff, Euphoria)","C++, C, Python, other (CMake, Cuda, GLSL, sed, Shell, HTML, SWIG, TeX)","C++, C, Python, other (CMake, Shell, Dockerfile, TeX, NASL, HTML, GDB)","C++, C, IDL, other (HTML, CMake, Roff, Shell, Batchfile, Makefile, QMake, M4)","C++, Python, C, other (CMake, GLSL, Shell, Cuda, Dockerfile)","C++, Python, C, other (Cuda, CMake, SWIG, C#, CSS, Shell, Batchfile, POV-Ray SDL)","C++, Python, other (CMake, Dockerfile)","C++, C, Python, Matlab, other (CMake, GLSL, Shell, Batchfile, Makefile)","C++, C, Python, Java, other (HTML, SWIG, JavaScript, CMake, Cuda, Objective-C, CSS, Lua)","C++, C, Matlab, Python, Java, Ruby, other (CMake, Thrift, SWIG, QML, Shell, Lua, Perl, PowerShell)","C++, Python, IDL, C, other (CMake, Shell, Makefile, Batchfile, Dockerfile)"
"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes∗, no)",yes ,yes ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Additional comments? (can cover any metrics you feel are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Installability (Measured via installation on a virtual machine.),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Are there installation instructions? (yes,no)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Are the installation instructions in one place? Place referring to a single document or web-page. (yes, no, n/a)",yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Are the installation instructions linear? Linear meaning progressing in a single series of steps. (yes, no, n/a)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Are the instructions written as if the person doing the installation has none of the dependent packages installed? (yes, no, unclear)",yes,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no
"Are compatible operating system versions listed? (yes, no)",yes,yes,no,yes,no,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,no,yes,yes
"Is there something in place to automate the installation (makefile, script, installer, etc)? (yes∗, no)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"If the software installation broke, was a descriptive error message displayed? (yes, no, n/a)",n/a,n/a,n/a,n/a,yes,n/a,n/a,yes,n/a,yes,n/a,n/a,n/a,yes,n/a,n/a,n/a,n/a,n/a,n/a,yes,n/a,n/a,n/a,n/a,n/a,n/a,yes
"Is there a specified way to validate the installation? (yes∗, no)",yes,yes ,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"How many steps were involved in the installation? (Includes manual steps like unzipping files) Specify OS. (number, OS)","1, Ubuntu (ROS)","2, Ubuntu (.deb)","1, Ubuntu/Linux","3, Linux","1, Linux","4, Linux/Ubuntu","3, Linux","3, Linux","2, Linux","2, Linux","3, Linux","2, Ubuntu/Debian","6, Linux","1, Linux","1, Linux","1, Linux","1, Linux","3, Linux","3, Linux/Pixi","1, Linux","11, Linux","2, Linux/Conda","6, Linux/Ubuntu source","4, Linux (pip)","1, Linux","5, Linux","6, Linux","2, Ubuntu (pkg_install_ubuntu.sh)"
"What OS was used for the installation? (Windows, Linux, OS X, Android, other∗ ) ∗given via string",Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux
How many extra software packages need to be installed before or during installation? (number),3,0,1,0,0,2,3,0,0,0,0,0,2,0,0,1,1,1,2,2,10,1,2,6,1,3,3,3
"Are required package versions listed? (yes, no, n/a)",no,no,no,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
"Are there instructions for the installation of required packages / dependencies? (yes, no, n/a)",yes,yes,yes,no,n/a,no,yes,yes,no,yes,yes,yes,n/a,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes
"Run uninstall, if available. Were any obvious problems caused? (yes , no, unavail)",no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Overall impression? (1 .. 10),10,8,9,8,7,4,8,8,4,8,7,8,7,9,7,9,10,7,6,7,5,8,7,7,8,6,7,7
Additional comments? (can cover any metrics you feel are missing,,,,,,"the document doesn't write very well, it is hard for beginner.The official installation instructions appear outdated. The guide is from 2006 and uses old build steps such as GNU make, VC6 project files, manual copying of library/header files, and MacOS X X11 setup.",,,,,"The installation and testing  do not match. After installing with pip, running the program results in a “file not found” error.cd src
python3 particle_test.py",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Correctness and Verifiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any reference to the requirements specifications of the program or theory manuals? (yes , no, unclear)",yes ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes
"What tools or techniques are used to build confidence of correctness? (literate programming, automated testing, symbolic execution, model checking, assertions used in the code, Sphinx, Doxygen, Javadoc, confluence, unclear, other∗) ∗ given via string",automated testing,"automated testing, assertions used in the code",assertions used in the code,"automated testing, assertions used in the code","automated testing, assertions used in the code",assertions used in the code,automated testing,"automated testing, assertions used in the code","automated testing, assertions used in the code, Doxygen",automated testing,"automated testing, assertions used in the code, Doxygen","automated testing, assertions used in the code, Sphinx, Doxygen","automated testing, assertions used in the code","automated testing, assertions used in the code","automated testing, assertions used in the code","automated testing, assertions used in the code, Doxygen","automated testing, assertions used in the code, Doxygen","automated testing, assertions used in the code, Doxygen","automated testing, assertions used in the code, Doxygen","automated testing, assertions used in the code","automated testing, assertions used in the code","automated testing, assertions used in the code, Sphinx, Doxygen","automated testing, assertions used in the code, Doxygen","automated testing, assertions used in the code","automated testing, Doxygen","automated testing, assertions used in the code, Doxygen","automated testing, assertions used in the code","Doxygen,automated testing"
"If there is a getting started tutorial? (yes, no)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Are the tutorial instructions linear? (yes, no, n/a)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Does the getting started tutorial provide an expected output? (yes, no*, n/a)",yes,yes ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes
"Does your tutorial output match the expected output? (yes, no, n/a)",yes,yes,yes,yes,n/a,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,n/a,yes,yes,yes,yes,n/a,yes,n/a,yes,n/a
"Are unit tests available? (yes, no, unclear)",yes,yes,yes,unclear,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes, no)",yes (performance-related code or documentation references),yes (performance-related code or documentation references),yes (performance-related code or documentation references),yes (performance-related code or documentation references),yes (performance-related code or documentation references),yes (performance-related code or documentation references),yes (performance-related code or documentation references),yes (ANN library includes performance counting macros),"yes (blast/include/extensions/authoring/NvBlastExtAuthoringFractureTool.h, blast/include/extensions/stress/NvBlastExtStressSolver.h)",yes (performance-related code or documentation references),yes (performance-related code or documentation references),"yes (DART_BUILD_PROFILE, DART_PROFILE_TRACY, DART_ENABLE_SIMD options, compiler cache)",yes (performance-focused changes documented in changelog),yes (performance-related code or documentation references),yes (performance-related code or documentation references),"yes (VAMP integration with SIMD, build type options for Release/RelWithDebInfo, parallel builds)","yes (benchmark infrastructure, tracy profiler option, CRTP pattern mentioned)",yes (performance-related code or documentation references),"yes (parallel execution options, performance optimizations mentioned)",yes (performance-related code or documentation references),yes (performance-related code or documentation references),yes (performance-related code or documentation references),yes (performance-related code or documentation references),yes (performance-related code or documentation references),yes (performance-related code or documentation references),"yes (SSE/AVX/GPU solver options, parallel processing, caching)",yes (performance-related code or documentation references),yes (performance-related code or documentation references)
Overall impression? (1 .. 10),10,8,7,8,7,6,9,8,6,8,10,8,8,8,7,9,9,8,6,9,5,8,8,6,8,5,8,8
Additional comments? (can cover any metrics you feel are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Reliability  ,,,,,,,,,not easy to find the link:https://nvidia-omniverse.github.io/PhysX/physx/5.6.1/docs/BuildingWithPhysX.html,,,,,,,,,,,,,,,,,,,
"Did the software ""break"" during installation? (yes∗ , no)",no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
"If the software installation broke, was the installation instance recoverable? (yes, no, n/a)",n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,n/a
"Did the software ""break"" during the initial tutorial testing? (yes∗, no, n/a)",n/a,no,no,no,no,no,no,no,no,no,no,no,no,n/a,no,no,no,no,no,no,no,no,no,no,no,no,no,no
